id,text_snippet,labels
136,CompetitorY provides similar features at a lower cost.,"Competition, Security, Objection, Pricing Discussion"
137,We need more information about the AI engine before proceeding.,"Competition, Pricing Discussion, Security"
138,Our compliance team is worried about data handling. Are you SOC2 certified?,"Competition, Security, Pricing Discussion, Objection"
139,Our compliance team is worried about data handling. Are you SOC2 certified?,"Pricing Discussion, Objection"
140,"We love the analytics, but CompetitorX has a cheaper subscription.","Security, Objection, Competition"
141,We need more information about the AI engine before proceeding.,Competition
142,Can you offer any discounts on your current pricing model?,"Competition, Pricing Discussion"
143,Can you offer any discounts on your current pricing model?,"Competition, Security, Pricing Discussion, Objection"
144,CompetitorY provides similar features at a lower cost.,Pricing Discussion
145,We need more information about the AI engine before proceeding.,"Security, Objection, Competition"
146,Can you offer any discounts on your current pricing model?,"Competition, Pricing Discussion"
147,We need more information about the AI engine before proceeding.,"Pricing Discussion, Competition, Security, Objection"
148,"We love the analytics, but CompetitorX has a cheaper subscription.","Security, Pricing Discussion"
149,We need more information about the AI engine before proceeding.,"Objection, Pricing Discussion, Security, Competition"
150,Can you offer any discounts on your current pricing model?,Pricing Discussion
151,Our compliance team is worried about data handling. Are you SOC2 certified?,"Competition, Objection"
152,Can you offer any discounts on your current pricing model?,"Pricing Discussion, Competition, Objection, Security"
153,Our compliance team is worried about data handling. Are you SOC2 certified?,"Security, Objection, Competition, Pricing Discussion"
154,We need more information about the AI engine before proceeding.,"Pricing Discussion, Security, Competition, Objection"
155,CompetitorY provides similar features at a lower cost.,"Objection, Pricing Discussion"
156,CompetitorY provides similar features at a lower cost.,"Pricing Discussion, Security, Competition"
157,Our compliance team is worried about data handling. Are you SOC2 certified?,Objection
158,Can you offer any discounts on your current pricing model?,"Pricing Discussion, Security"
159,Can you offer any discounts on your current pricing model?,"Security, Competition"
160,Our compliance team is worried about data handling. Are you SOC2 certified?,Competition
161,Our compliance team is worried about data handling. Are you SOC2 certified?,Security
162,Our compliance team is worried about data handling. Are you SOC2 certified?,"Pricing Discussion, Objection, Security, Competition"
163,We need more information about the AI engine before proceeding.,Pricing Discussion
164,Can you offer any discounts on your current pricing model?,"Objection, Competition"
165,We need more information about the AI engine before proceeding.,"Competition, Pricing Discussion"
166,CompetitorY provides similar features at a lower cost.,"Security, Competition, Objection"
167,We need more information about the AI engine before proceeding.,"Pricing Discussion, Competition"
168,We need more information about the AI engine before proceeding.,Pricing Discussion
169,Can you offer any discounts on your current pricing model?,"Security, Objection"
170,We need more information about the AI engine before proceeding.,"Competition, Objection, Pricing Discussion, Security"
171,"We love the analytics, but CompetitorX has a cheaper subscription.","Security, Objection, Competition, Pricing Discussion"
172,Can you offer any discounts on your current pricing model?,Pricing Discussion
173,CompetitorY provides similar features at a lower cost.,"Pricing Discussion, Objection"
174,Can you offer any discounts on your current pricing model?,Objection
175,"We love the analytics, but CompetitorX has a cheaper subscription.","Competition, Security, Pricing Discussion"
176,"We love the analytics, but CompetitorX has a cheaper subscription.","Competition, Pricing Discussion"
177,We need more information about the AI engine before proceeding.,"Security, Objection, Competition, Pricing Discussion"
178,Can you offer any discounts on your current pricing model?,"Security, Pricing Discussion, Objection, Competition"
179,"We love the analytics, but CompetitorX has a cheaper subscription.","Objection, Competition"
180,Our compliance team is worried about data handling. Are you SOC2 certified?,Pricing Discussion
181,CompetitorY provides similar features at a lower cost.,"Objection, Competition, Pricing Discussion"
182,Our compliance team is worried about data handling. Are you SOC2 certified?,"Competition, Pricing Discussion, Security, Objection"
183,Can you offer any discounts on your current pricing model?,"Security, Objection, Pricing Discussion, Competition"
184,We need more information about the AI engine before proceeding.,"Pricing Discussion, Objection, Competition"
185,Can you offer any discounts on your current pricing model?,"Pricing Discussion, Competition, Objection, Security"
186,Our compliance team is worried about data handling. Are you SOC2 certified?,"Competition, Security, Objection"
187,Our compliance team is worried about data handling. Are you SOC2 certified?,"Pricing Discussion, Security"
188,"We love the analytics, but CompetitorX has a cheaper subscription.","Competition, Pricing Discussion, Security, Objection"
189,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Competition, Security"
190,CompetitorY provides similar features at a lower cost.,Objection
191,"We love the analytics, but CompetitorX has a cheaper subscription.","Objection, Pricing Discussion, Competition, Security"
192,Can you offer any discounts on your current pricing model?,Pricing Discussion
193,CompetitorY provides similar features at a lower cost.,"Security, Objection"
194,We need more information about the AI engine before proceeding.,"Competition, Objection, Pricing Discussion, Security"
195,"We love the analytics, but CompetitorX has a cheaper subscription.","Competition, Pricing Discussion, Security, Objection"
196,Our compliance team is worried about data handling. Are you SOC2 certified?,"Pricing Discussion, Objection, Competition, Security"
197,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Competition, Security, Objection"
198,Can you offer any discounts on your current pricing model?,Competition
199,Can you offer any discounts on your current pricing model?,Security
200,Our compliance team is worried about data handling. Are you SOC2 certified?,Objection
